id,customer_id,item_name,price,quantity,temperature_requirement,order_date
ORD001,CUST014,Matzo Ball Soup,12.99,2,hot,2024-11-01 12:30:00
ORD002,CUST016,Israeli Salad,11.99,1,cold,2024-11-01 12:31:15
ORD003,CUST018,Beef Brisket,28.99,3,hot,2024-11-01 12:45:22
ORD004,CUST020,Pareve Ice Cream,9.99,2,cold,2024-11-01 13:15:00
ORD005,CUST022,Chicken Schnitzel,21.99,4,hot,2024-11-01 13:20:45
ORD006,CUST024,Mediterranean Quinoa Salad,14.99,1,cold,2024-11-01 13:45:30
ORD007,CUST026,Shakshuka,18.99,2,hot,2024-11-01 14:00:00
ORD008,CUST028,Hummus Plate,12.99,1,cold,2024-11-01 14:15:20
ORD009,CUST030,Grilled Lamb Kebab,32.99,2,hot,2024-11-01 14:30:45
ORD010,CUST032,Tahini Vegetable Platter,19.99,1,cold,2024-11-01 15:00:00
ORD011,CUST034,Roasted Chicken,24.99,3,hot,2024-11-01 15:15:30
ORD012,CUST036,Fruit Salad,13.99,2,cold,2024-11-01 15:45:00
ORD013,CUST038,Cholent,21.99,1,hot,2024-11-01 16:00:15
ORD014,CUST040,Smoked Salmon Plate,26.99,2,cold,2024-11-01 16:30:45
ORD015,CUST004,Shawarma Plate,22.99,3,hot,2024-11-01 17:00:00
ORD016,CUST042,Tabbouleh,9.99,2,cold,2024-11-01 17:15:30
ORD017,CUST044,Beef Kebab,25.99,4,hot,2024-11-01 17:45:00
ORD018,CUST046,Baba Ganoush,11.99,1,cold,2024-11-01 18:00:15
ORD019,CUST048,Chicken Soup,14.99,2,hot,2024-11-01 18:30:45
ORD020,CUST050,Pickled Vegetable Plate,8.99,3,cold,2024-11-01 19:00:00
ORD021,CUST052,Roasted Turkey Breast,23.99,2,hot,2024-11-02 12:00:00
ORD022,CUST054,Couscous Salad,12.99,1,cold,2024-11-02 12:15:30
ORD023,CUST007,BBQ Beef Ribs,34.99,2,hot,2024-11-02 12:45:00
ORD024,CUST056,Marinated Olives,7.99,1,cold,2024-11-02 13:00:15
ORD025,CUST058,Stuffed Cabbage,19.99,3,hot,2024-11-02 13:30:45
ORD026,CUST060,Eggplant Salad,11.99,2,cold,2024-11-02 14:00:00
ORD027,CUST062,Grilled Chicken Wings,16.99,4,hot,2024-11-02 14:15:30
ORD028,CUST064,Fattoush Salad,13.99,2,cold,2024-11-02 14:45:00
ORD029,CUST066,Beef Stir Fry,24.99,3,hot,2024-11-02 15:00:15
ORD030,CUST068,Cucumber Tomato Salad,9.99,1,cold,2024-11-02 15:30:45
ORD031,CUST070,Duck Breast,36.99,2,hot,2024-11-02 16:00:00
ORD032,CUST072,Roasted Pepper Salad,10.99,4,cold,2024-11-02 16:15:30
ORD033,CUST074,Lamb Tagine,31.99,2,hot,2024-11-02 16:45:00
ORD034,CUST010,Moroccan Carrot Salad,11.99,1,cold,2024-11-02 17:00:15
ORD035,CUST076,Beef Goulash,26.99,3,hot,2024-11-02 17:30:45
ORD036,CUST078,Pareve Sushi Roll,15.99,1,cold,2024-11-02 18:00:00
ORD037,CUST080,Veal Scaloppini,35.99,2,hot,2024-11-02 18:15:30
ORD038,CUST082,Quinoa Tabbouleh,12.99,2,cold,2024-11-02 18:45:00
ORD039,CUST084,Prime Rib,45.99,1,hot,2024-11-02 19:00:15
ORD040,CUST086,Beetroot Salad,10.99,2,cold,2024-11-02 19:30:45
ORD041,CUST088,Chicken Tagine,25.99,3,hot,2024-11-03 12:00:00
ORD042,CUST090,Vegetable Crudité,14.99,1,cold,2024-11-03 12:15:30
ORD043,CUST092,Beef Kofta,21.99,2,hot,2024-11-03 12:45:00
ORD044,CUST094,Grilled Vegetable Platter,18.99,1,cold,2024-11-03 13:00:15
ORD045,CUST001,Roasted Cornish Hen,28.99,2,hot,2024-11-03 13:30:45
ORD046,CUST096,Israeli Pickles,6.99,4,cold,2024-11-03 14:00:00
ORD047,CUST098,Moroccan Fish,27.99,2,hot,2024-11-03 14:15:30
ORD048,CUST100,Mezze Platter,29.99,1,cold,2024-11-03 14:45:00
ORD049,CUST102,Beef Bourguignon,32.99,2,hot,2024-11-03 15:00:15
ORD050,CUST104,Pareve Chocolate Mousse,12.99,2,cold,2024-11-03 15:30:45
